empresa,setor,pais_sede,ano,investimento_ia_usd_milhoes,principais_usos_ia,impacto_operacional,crescimento_lucro_%,nota_inovacao
Google (Alphabet),Tecnologia,EUA,2015,2253.7,Robótica,Alto,10.96,8.9
Google (Alphabet),Tecnologia,EUA,2016,1110.28,Modelos de linguagem,Médio,5.94,6.7
Google (Alphabet),Tecnologia,EUA,2017,2466.89,Nuvem com IA,Alto,12.53,9.5
Google (Alphabet),Tecnologia,EUA,2018,1981.45,Robótica,Médio,5.75,7.3
Google (Alphabet),Tecnologia,EUA,2019,1340.58,Robótica,Baixo,-0.59,5.6
Google (Alphabet),Tecnologia,EUA,2020,2371.72,Nuvem com IA,Alto,5.26,8.9
Google (Alphabet),Tecnologia,EUA,2021,674.51,Nuvem com IA,Alto,10.97,9.7
Google (Alphabet),Tecnologia,EUA,2022,1727.28,Robótica,Médio,3.67,6.3
Google (Alphabet),Tecnologia,EUA,2023,1689.8,Nuvem com IA,Alto,6.5,9.5
Google (Alphabet),Tecnologia,EUA,2024,1103.28,Robótica,Alto,12.28,9.1
Microsoft,Tecnologia,EUA,2015,1440.03,Robótica,Médio,2.3,6.5
Microsoft,Tecnologia,EUA,2016,1469.37,Nuvem com IA,Médio,4.44,6.4
Microsoft,Tecnologia,EUA,2017,507.2,Modelos de linguagem,Baixo,0.58,5.2
Microsoft,Tecnologia,EUA,2018,1527.04,Modelos de linguagem,Alto,8.94,8.9
Microsoft,Tecnologia,EUA,2019,1034.23,Robótica,Alto,9.44,8.6
Microsoft,Tecnologia,EUA,2020,509.44,Modelos de linguagem,Médio,4.25,7.9
Microsoft,Tecnologia,EUA,2021,1478.9,Nuvem com IA,Alto,10.6,8.3
Microsoft,Tecnologia,EUA,2022,2012.97,Modelos de linguagem,Alto,8.53,9.7
Microsoft,Tecnologia,EUA,2023,1133.53,Modelos de linguagem,Alto,6.97,9.9
Microsoft,Tecnologia,EUA,2024,2346.35,Robótica,Baixo,2.82,5.4
Apple,Tecnologia,EUA,2015,1249.79,Robótica,Alto,12.63,8.2
Apple,Tecnologia,EUA,2016,1370.86,Robótica,Alto,13.1,8.8
Apple,Tecnologia,EUA,2017,1666.44,Nuvem com IA,Alto,13.99,8.9
Apple,Tecnologia,EUA,2018,2463.56,Nuvem com IA,Alto,9.68,9.9
Apple,Tecnologia,EUA,2019,1175.04,Robótica,Alto,7.63,8.9
Apple,Tecnologia,EUA,2020,2226.82,Modelos de linguagem,Alto,10.13,8.1
Apple,Tecnologia,EUA,2021,847.82,Modelos de linguagem,Baixo,-0.36,4.3
Apple,Tecnologia,EUA,2022,1429.34,Nuvem com IA,Médio,4.91,6.1
Apple,Tecnologia,EUA,2023,976.22,Robótica,Alto,5.03,8.6
Apple,Tecnologia,EUA,2024,2274.49,Robótica,Baixo,0.14,4.8
Amazon,Varejo Online,EUA,2015,464.08,Recomendações inteligentes,Médio,2.81,6.4
Amazon,Varejo Online,EUA,2016,234.14,Recomendações inteligentes,Alto,6.34,8.7
Amazon,Varejo Online,EUA,2017,145.81,Recomendações inteligentes,Alto,5.22,9.3
Amazon,Varejo Online,EUA,2018,685.23,Recomendações inteligentes,Alto,14.21,8.1
Amazon,Varejo Online,EUA,2019,604.18,Logística preditiva,Alto,13.65,8.7
Amazon,Varejo Online,EUA,2020,151.9,Logística preditiva,Alto,11.92,8.7
Amazon,Varejo Online,EUA,2021,487.55,Logística preditiva,Alto,8.85,8.3
Amazon,Varejo Online,EUA,2022,617.01,Logística preditiva,Médio,6.14,6.1
Amazon,Varejo Online,EUA,2023,176.72,Logística preditiva,Alto,12.3,8.1
Amazon,Varejo Online,EUA,2024,333.78,Recomendações inteligentes,Alto,12.37,8.6
Meta (Facebook),Tecnologia,EUA,2015,723.22,Robótica,Alto,8.28,9.7
Meta (Facebook),Tecnologia,EUA,2016,1829.15,Nuvem com IA,Médio,2.88,7.2
Meta (Facebook),Tecnologia,EUA,2017,608.25,Robótica,Alto,7.91,9.4
